Institute Id,Institute Name,City,State,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18,Score_17,Rank_17,TLR_17,RPC_17,GO_17,OI_17,Perception_17,Score_16,Rank_16,TLR_16,RPC_16,GO_16,OI_16,Perception_16
IR-M-I-1170,Management Development Institute,Gurugram,Haryana,67.59,11.0,78.04,49.36,95.55,69.81,32.8,65.95,10.0,79.56,46.04,94.54,69.12,24.51,61.89,12.0,79.5,35.44,94.59,63.77,21.13,59.59,12.0,77.67,30.32,94.8,60.08,22.24,53.12,16.0,78.11,15.84,89.08,53.1,18.11,77.44,11.0,70.84,75.01,98.59,61.63,97.0
IR-M-S-8931,National Institute of Industrial Engineering,Mumbai,Maharashtra,64.52,12.0,73.05,49.9,93.47,67.69,21.81,62.87,12.0,77.51,43.86,92.77,66.83,12.3,50.96,29.0,51.15,37.46,86.24,54.9,16.34,57.02,14.0,75.28,35.32,86.26,55.66,10.13,55.74,12.0,76.38,24.65,83.04,74.75,13.57,,,,,,,
IR-M-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,64.32,13.0,67.24,57.1,78.44,62.13,51.25,61.77,14.0,67.19,48.9,79.17,59.09,51.96,58.4,15.0,68.33,36.09,77.8,63.04,52.11,,,,,,,,,,,,,,,,,,,,,
IR-M-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,63.79,14.0,57.49,76.37,80.11,57.56,18.54,62.87,12.0,56.75,75.17,76.86,59.0,20.34,62.11,11.0,59.23,70.37,78.97,60.18,14.17,62.95,9.0,54.66,79.72,79.52,50.94,16.38,62.46,8.0,58.23,72.93,79.69,61.93,9.84,,,,,,,
IR-M-S-8868,Indian Institute of Management Raipur,Raipur,Chhattisgarh,62.12,15.0,79.91,35.73,90.13,71.0,23.05,56.12,19.0,70.51,28.83,90.07,67.91,15.15,53.86,19.0,70.36,18.5,89.98,73.19,18.8,51.17,21.0,57.68,25.44,89.86,64.92,17.81,54.8,14.0,78.16,19.78,84.56,68.88,16.16,72.41,18.0,69.09,85.61,87.49,59.44,40.0
IR-M-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,61.31,16.0,67.6,54.16,83.12,56.22,25.42,60.53,16.0,70.79,49.79,79.81,58.94,24.95,53.37,22.0,66.41,45.54,59.92,52.34,25.76,53.43,17.0,72.68,40.84,66.02,46.37,15.4,57.19,11.0,79.59,44.28,68.57,47.06,16.06,79.43,9.0,93.89,92.42,80.81,47.04,44.0
IR-M-S-8948,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,61.1,17.0,76.15,28.66,86.12,62.82,61.64,60.79,15.0,77.93,23.77,89.15,65.37,59.08,59.15,14.0,79.3,16.92,88.47,63.49,62.38,55.85,15.0,75.65,13.34,87.85,57.79,58.06,55.46,13.0,77.37,12.15,85.2,81.63,34.11,75.23,14.0,76.93,84.11,86.31,64.31,43.0
IR-M-S-8942,Indian Institute of Management Udaipur,Udaipur,Rajasthan,60.94,18.0,79.24,34.91,84.46,70.4,27.67,59.57,17.0,82.11,30.12,84.23,69.23,21.3,60.79,13.0,78.26,35.34,85.01,71.99,25.08,59.07,13.0,80.24,29.85,86.46,68.86,18.73,53.77,15.0,74.85,16.11,80.12,90.63,14.11,84.22,5.0,80.99,90.85,87.17,68.44,93.0
IR-M-I-1044,S. P. Jain Institute of Management & Research,Mumbai,Maharashtra,58.73,19.0,74.82,22.49,99.16,70.37,26.56,56.93,18.0,73.32,21.8,97.99,71.12,16.78,55.67,16.0,74.15,16.23,96.64,71.08,21.13,52.31,19.0,68.5,16.83,96.0,58.24,16.86,51.42,18.0,66.39,18.97,88.48,55.65,25.45,74.59,16.0,69.18,83.93,89.61,41.73,90.0
IR-M-C-19343,Symbiosis Institute of Business Management,Pune,Maharashtra,58.64,20.0,79.53,19.99,94.97,67.56,30.32,55.82,22.0,79.78,14.76,94.56,66.62,18.85,53.56,20.0,74.85,8.75,94.47,67.17,28.69,52.8,18.0,72.37,9.33,94.27,66.26,28.11,,,,,,,,,,,,,,
IR-M-S-8904,Indian Institute of Management Ranchi,Ranchi,Jharkhand,58.26,21.0,71.44,25.54,91.75,72.58,35.61,55.97,20.0,70.4,18.91,92.07,68.82,38.92,51.02,28.0,65.06,8.27,91.02,68.32,39.92,44.21,40.0,55.34,6.46,90.4,58.55,17.34,48.7,25.0,64.12,7.5,84.81,85.69,16.81,65.75,28.0,52.68,80.73,83.65,58.32,44.0
IR-M-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,57.53,22.0,77.77,21.57,92.07,69.48,23.66,55.44,24.0,77.88,18.05,90.2,69.48,16.78,53.56,20.0,74.13,16.01,90.0,70.06,15.06,51.03,24.0,70.34,14.8,85.83,69.76,13.37,44.81,34.0,52.22,16.33,76.89,65.04,23.58,,,,,,,
IR-M-S-8937,Indian Institute of Management Shillong,Shillong,Meghalaya,56.87,23.0,70.29,18.79,93.21,77.6,37.38,53.56,30.0,72.49,12.46,91.82,58.51,38.61,53.01,24.0,76.57,8.47,92.23,54.9,35.62,50.53,26.0,77.31,6.45,92.16,55.35,14.4,50.44,21.0,78.22,7.68,83.07,66.8,13.84,71.93,20.0,87.71,80.91,87.66,37.82,25.0
IR-M-N-16,Great Lakes Institute of Management,Chennai,Tamil Nadu,56.75,24.0,84.52,19.46,84.54,66.6,19.88,55.8,23.0,83.89,16.46,84.14,68.75,19.85,55.09,18.0,81.04,15.96,84.93,69.56,20.37,55.25,16.0,82.19,16.42,85.63,67.98,17.34,,,,,,,,,,,,,,
